prompt,C,E,D,B,A,answer
What awards was Jack Weston nominated for throughout his career?,Jack Weston was nominated for a BAFTA Award in 1976 and a Nobel Prize in 1981.,Jack Weston was nominated for an Academy Award in 1976 and a Pulitzer Prize in 1981.,Jack Weston was nominated for a Screen Actors Guild Award in 1976 and a People's Choice Award in 1981.,Jack Weston was nominated for a Golden Globe Award in 1976 and a Tony Award in 1981.,Jack Weston was nominated for an Emmy Award in 1976 and a Grammy Award in 1981.,B
Where is Billième located?,Billième is a commune in the Savoie department in the Occitanie region in southwestern France.,Billième is a commune in the Savoie department in the Auvergne-Rhône-Alpes region in south-eastern France.,Billième is a commune in the Isère department in the Pays de la Loire region in northwestern France.,Billième is a commune in the Ain department in the Normandy region in northwestern France.,Billième is a commune in the Hautes-Alpes department in the Provence-Alpes-Côte d'Azur region in southeastern France.,E
"What is the significance of the Rose Lime Kiln, near Lake City, Colorado?",The Rose Lime Kiln was built in 1881 and is listed on the National Register of Historic Places.,The Rose Lime Kiln is the oldest lime kiln in Colorado.,The Rose Lime Kiln is located near a large limestone quarry and supplies the local construction industry.,The Rose Lime Kiln is currently in operation and produces commercial lime products.,The Rose Lime Kiln is a popular tourist destination known for its unique architectural design.,C
What is the Rocchio classifier primarily used for in machine learning text classification?,The Rocchio classifier is used to measure the temperature of documents based on their tf*idf weights.,The Rocchio classifier is used to measure the mass of documents based on their mean centroid.,The Rocchio classifier is used to assign labels to observations based on their tf*idf weights.,The Rocchio classifier is used to estimate the age of documents based on their mean centroid.,The Rocchio classifier is used to determine the relevance of documents based on their word vectors.,A
What is Danielle Brooks best known for?,Danielle Brooks is best known for her roles in the comedy-drama series Orange Is the New Black and the superhero series Peacemaker.,"Danielle Brooks is best known for her role as Tasha ""Taystee"" Jefferson on the comedy-drama series Orange Is the New Black.",Danielle Brooks is best known for her roles in the musical revivals The Color Purple and The Piano Lesson.,Danielle Brooks is best known for her roles in the August Wilson play The Piano Lesson and the musical revival The Color Purple.,Danielle Brooks is best known for her roles in the musical revival The Color Purple and the superhero series Peacemaker.,C
"What is the concept behind the album ""Some Dreams"" by the voice actress idol unit Earphones?","""Some Dreams"" is a compilation of songs performed in different languages, showcasing the group's linguistic versatility.","""Some Dreams"" is an experimental album that blends different musical genres, creating a novel sound experience.","""Some Dreams"" is a collection of songs that represent various dreams, each embodying a unique concept or storyline.","""Some Dreams"" seeks to explore the themes of love and heartbreak through emotionally charged lyrics.","""Some Dreams"" is a tribute album dedicated to influential Japanese voice actresses who have made a significant impact in the industry.",D
What is the game NetHack based on?,A video game developed by the NetHack DevTeam.,A text-based adventure game released in 1987.,A popular multiplayer online role-playing game.,A console game released in 1980.,"A fork of the game Hack, which was inspired by the game Rogue.",A
What is Aqua Something You Know Whatever?,"Aqua Something You Know Whatever is a travel show showcasing the world's most beautiful and exotic water destinations, premiered in 2012.","Aqua Something You Know Whatever is a cooking show hosted by a renowned chef specializing in seafood dishes, debuted in 2012.","Aqua Something You Know Whatever is a reality TV show that follows the daily lives of a group of friends living in a beach house, aired in 2012.","Aqua Something You Know Whatever is a documentary series exploring marine life and ecosystems, narrated by David Attenborough, released in 2012.","Aqua Something You Know Whatever is the alternative title given to the ninth season of the animated television series Aqua Teen Hunger Force, originally aired in 2012.",A
"How large is the municipality of Leme do Prado in Minas Gerais, Brazil?",281 square kilometers,"4,920 square miles","4,920 square kilometers",2020 square kilometers,108 square kilometers,C
How far is Corcelles-Sud railway station from Corcelles-Nord?,The station is 1 kilometre (0.62 mi) west of Corcelles-Nord.,The station is 1 kilometre (0.62 mi) north of Corcelles-Nord.,The station is 1 kilometre (0.62 mi) east of Corcelles-Nord.,The station is 1 kilometre (0.62 mi) south of Corcelles-Nord.,The station is located in Corcelles-Nord.,B
What was the significance of Fort Negley during the American Civil War?,Fort Negley served as a headquarters for Confederate troops during the war.,Fort Negley was used as a hospital to treat wounded soldiers during the war.,Fort Negley played a key role in the Underground Railroad network.,Fort Negley was the site of the largest battle in the American Civil War.,Fort Negley was a crucial supply base for Union troops during the war.,A
Who is Nicholas Rackard known as in the history of hurling?,"A legendary figure in Irish hurling, famous for his exceptional skills and contributions to the game.","An Irish hurler who played for Wexford senior team for seventeen years, from 1940 to 1957.",The top scorer in both league and championship competitions during his seventeen-year career.,"The all-time leading scorer in championship goals, with a total of 59 goals.","One of the greatest hurlers in the history of the game, known for setting numerous championship scoring records.",A
What is the core subsidiary of GAZ Group Holding?,Basic Element industrial group,OAO GAZ,Gorkovsky avtomobilny zavod (GAZ),JSC Russian Machines,Nizhny Novgorod,D
Which of the following accurately describes the Delta IV Heavy launch vehicle's status as of June 2023?,"The Delta IV Heavy is the world's highest-capacity launch vehicle, surpassing NASA's Space Launch System and SpaceX's Falcon Heavy.","The Delta IV Heavy is the world's second highest-capacity launch vehicle, trailing behind only SpaceX's Falcon Heavy.","The Delta IV Heavy is the fourth highest-capacity launch vehicle in operation, behind NASA's Space Launch System, SpaceX's Falcon Heavy, and CASC's Long March 5.","The Delta IV Heavy is the second highest-capacity launch vehicle in operation, just behind NASA's Space Launch System.","The Delta IV Heavy is the third highest-capacity launch vehicle in operation, closely followed by CASC's Long March 5.",A
"What is the significance of the film ""Lingerie"" (1928) in American cinema history?",It was the first American silent film to be entirely in color.,It was the first American silent film to receive an Academy Award nomination.,It was the first American silent war drama film.,It was the first American silent film directed by a woman.,It was the first American silent film to feature explicit romantic scenes.,D
