id,prompt,A,B,C,D,E,answer
1692,What are DFM guidelines for?,To define various tolerances,To establish rules for manufacturing,To perform common manufacturing checks,To ensure manufacturability,All of the above,E
1693,What is the relationship between DFM and DFSS?,DFM is a similar concept to DFSS,DFSS is applicable to the design process,DFSS is practiced in many organizations,All of the above,None of the above,D
1694,What do critics argue about DFM?,DFM is a new and unnecessary term,DFM is the same as engineering design,DFM has existed as long as manufacturing itself,All of the above,None of the above,D
1695,What is a synthetic genome?,A genome created through genetic modification on pre-existing life forms,A genome created through artificial gene synthesis,A genome created through genetic modification and artificial gene synthesis,A genome created through recombinant DNA technology,A genome created through polymerase cycling assembly,C
1696,What is the field called that studies synthetic genomes?,Synthetic genetics,Genomic engineering,Synthetic biology,Genetic manipulation,Synthetic genomics,E
1697,What is the advantage of using the recombinatory approach in DNA synthesis?,It allows for the construction of fusion proteins,It allows for the construction of entire genomes,It reduces the error rates of current technologies,It increases the purity of synthetic DNA,It simplifies the process of DNA synthesis,B
1698,What is the main technique used in polymerase cycling assembly (PCA)?,Hybridization,Elongation,Denaturation,Ligation,Taq polymerase,E
1699,What is the final result of polymerase cycling assembly (PCA)?,A set of oligonucleotides,A series of overlapping fragments,An artificial DNA sequence,A synthetic genome,A recombinant DNA molecule,D
1700,Where did Valencia Joyner Koomson grow up?,"New York City, New York","Washington, DC","Wilson County, North Carolina","Johnston County, North Carolina","Los Angeles, California",B
1701,Which university did Valencia Joyner Koomson attend for her undergraduate studies?,Massachusetts Institute of Technology,Howard University,University of Southern California,Rensselaer Polytechnic Institute,Boston University,A
1702,In what year did Valencia Joyner Koomson receive her PhD in Electrical Engineering?,1998,1999,2003,2004,2005,C
1703,Where was Valencia Joyner Koomson a Visiting Professor in 2008?,Massachusetts Institute of Technology,Howard University,University of Southern California,Rensselaer Polytechnic Institute,Boston University,D
1704,What is the name of the lab that Valencia Joyner Koomson is the principal investigator for at Tufts University?,Advanced Integrated Circuits and Systems Lab,Electrical and Computer Engineering Lab,Information Sciences Lab,Electrical Engineering Lab,Computer Science Lab,A
1705,What are the fundamental algebraic operations defined on a field?,"Addition, subtraction, and multiplication","Addition, subtraction, multiplication, and division","Addition, multiplication, and division","Subtraction, multiplication, and division","Addition, subtraction, and division",B
1706,Which of the following fields is widely used in number theory and algebraic geometry?,Field of rational numbers,Field of real numbers,Field of complex numbers,Fields of rational functions,Algebraic number fields,E
1707,What type of fields do most cryptographic protocols rely on?,Fields with infinitely many elements,Fields with finitely many elements,Fields with both finitely and infinitely many elements,Fields with only one element,Fields with no elements,B
1708,What does Galois theory study?,Symmetries of field extensions,The properties of finite fields,Squaring the circle and angle trisection,Algebraic solvability of quintic equations,Properties of rational numbers,A
1709,What role do fields play in mathematics?,They serve as foundational notions in several mathematical domains,They are used in cryptography to secure data,They are essential in solving quintic equations,They are used in numerical simulations,They help in simplifying algebraic expressions,A
1710,What is the definition of food science according to the Institute of Food Technologists?,The study of chemical processes and interactions of all biological and non-biological components of foods,"The application of basic sciences and engineering to study the physical, chemical, and biochemical nature of foods and the principles of food processing","The discipline in which the engineering, biological, and physical sciences are used to study the nature of foods, the causes of deterioration, the principles underlying food processing, and the improvement of foods for the consuming public","The study of both physical and chemical interactions in foods in terms of physical and chemical principles applied to food systems, as well as the application of physicochemical techniques and instrumentation for the study and analysis of foods",The industrial processes used to manufacture food,C
